Player,Age,Position,CM,KG,Start,Sub,Game,Mins,Goals,Assists,G+A,Yel,Red,Yel+Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
M.Barbosa,30,Goalkeeper,188,79,1,1,2,162,0,0,0,0,0,0,0,68,1.5,0,6.37,Sevilla,2014/2015,ARG,Argentina
M.Barbosa,31,Goalkeeper,188,79,2,0,2,180,0,0,0,0,0,0,0,73,0,0,6.14,Villarreal,2015/2016,ARG,Argentina
M.Barbosa,33,Goalkeeper,188,79,12,1,13,1125,0,0,0,0,0,0,0,60.4,0.1,0,6.67,Villarreal,2017/2018,ARG,Argentina
M.Baro,21,Defender,184,72,1,0,1,90,0,0,0,0,0,0,1,71.4,0,0,5.84,Cadiz,2020/2021,ESP,Spain
M.Bartra,20,Defender,184,70,2,0,2,180,1,0,1,0,0,0,1,83.8,1,0,7.77,Barcelona,2010/2011,ESP,Spain
M.Bartra,21,Defender,184,70,0,1,1,22,0,0,0,0,0,0,0,83.3,0,0,6.29,Barcelona,2011/2012,ESP,Spain
M.Bartra,22,Defender,184,70,3,5,8,394,0,0,0,1,0,1,0.1,88.4,1.3,0,6.72,Barcelona,2012/2013,ESP,Spain
M.Bartra,23,Defender,184,70,17,3,20,1590,1,1,2,3,0,3,0.4,89.9,2.2,0,7.39,Barcelona,2013/2014,ESP,Spain
M.Bartra,24,Defender,184,70,11,3,14,1036,1,3,4,1,0,1,0.8,88.9,2.1,0,7.5,Barcelona,2014/2015,ESP,Spain
M.Bartra,25,Defender,184,70,4,9,13,496,2,1,3,0,0,0,0.4,87.9,1.1,0,6.85,Barcelona,2015/2016,ESP,Spain
M.Bartra,27,Defender,184,70,16,0,16,1421,1,0,1,6,0,6,0.8,85.8,3.2,2,7.54,Real Betis,2017/2018,ESP,Spain
M.Bartra,28,Defender,184,70,33,0,33,2930,1,0,1,4,0,4,0.3,87.8,2.3,1,6.97,Real Betis,2018/2019,ESP,Spain
M.Bartra,29,Defender,184,70,29,1,30,2527,3,1,4,8,0,8,0.8,85.3,3.4,2,6.9,Real Betis,2019/2020,ESP,Spain
M.Bartra,30,Defender,184,70,19,0,19,1695,0,1,1,3,0,3,0.5,80.6,3.1,1,6.64,Real Betis,2020/2021,ESP,Spain
M.Bartra,31,Defender,184,70,23,0,23,1994,1,0,1,5,0,5,0.7,82.4,2.7,1,6.95,Real Betis,2021/2022,ESP,Spain
M.Batshuayi,25,Forward,185,76,4,11,15,522,1,0,1,3,0,3,1.1,76.3,0.7,0,6.23,Valencia,2018/2019,BEL,Belgium
M.Bergara,24,Midfielder,180,74,9,10,19,952,0,0,0,5,0,5,0.3,77.9,1.1,0,6.44,Real Sociedad,2010/2011,ESP,Spain
M.Bergara,25,Midfielder,180,74,9,2,11,702,0,0,0,4,0,4,0.2,77,1.3,0,6.74,Real Sociedad,2011/2012,ESP,Spain
M.Bergara,26,Midfielder,180,74,27,1,28,2364,0,0,0,7,1,8,0.3,86.3,1.5,1,6.85,Real Sociedad,2012/2013,ESP,Spain
M.Bergara,27,Midfielder,180,74,32,0,32,2729,1,2,3,4,0,4,0.5,83.5,2,1,7,Real Sociedad,2013/2014,ESP,Spain
M.Bergara,28,Midfielder,180,74,24,6,30,2125,1,0,1,9,0,9,0.4,81.5,1.3,1,6.79,Real Sociedad,2014/2015,ESP,Spain
M.Bergara,29,Midfielder,180,74,15,5,20,1357,1,0,1,6,1,7,0.6,81.8,1.5,0,6.7,Real Sociedad,2015/2016,ESP,Spain
M.Bergara,30,Midfielder,180,74,3,3,6,286,0,0,0,0,0,0,0,75.6,1.3,0,6.2,Real Sociedad,2016/2017,ESP,Spain
M.Bergara,31,Midfielder,180,74,18,0,18,1469,4,1,5,5,0,5,0.9,72,1.7,0,6.77,Getafe,2017/2018,ESP,Spain
M.Bergara,32,Midfielder,180,74,0,3,3,50,0,0,0,0,0,0,0,76.5,0.3,0,6.08,Getafe,2018/2019,ESP,Spain
M.Bergara,33,Midfielder,180,74,0,2,2,70,0,0,0,2,0,2,0.5,56.3,0.5,0,6.02,Getafe,2019/2020,ESP,Spain
M.Bermejo,34,Forward,180,78,16,17,33,1610,5,0,5,4,0,4,1.1,65.5,2.6,1,6.45,Celta Vigo,2012/2013,ESP,Spain
M.Bermejo,35,Forward,180,78,3,10,13,397,0,0,0,2,0,2,0.7,73.4,0.8,0,6.23,Celta Vigo,2013/2014,ESP,Spain
M.Bertran,29,Defender,181,78,27,1,28,2355,0,2,2,3,0,3,0.3,67.4,1,0,7.02,Osasuna,2011/2012,ESP,Spain
M.Bertran,30,Defender,181,78,20,3,23,1854,0,0,0,8,0,8,0.3,70.2,1.1,0,6.83,Osasuna,2012/2013,ESP,Spain
M.Bertran,31,Defender,181,78,28,1,29,2454,0,3,3,5,0,5,0.3,73.6,1.2,1,6.91,Osasuna,2013/2014,ESP,Spain
M.Bilic,30,Forward,185,81,3,15,18,482,0,0,0,4,0,4,0.8,66.7,1.3,0,6.18,Sporting Gijon,2010/2011,CRO,Croatia
M.Bilic,31,Forward,185,81,1,19,20,462,4,1,5,4,0,4,1,63.6,1,0,6.33,Sporting Gijon,2011/2012,CRO,Croatia
M.Braithwaite,27,Forward,180,77,16,3,19,1407,4,5,9,5,0,5,1.5,73,1.6,1,6.67,Leganes,2018/2019,DEN,Denmark
M.Braithwaite,28,Forward,180,77,4,7,11,403,1,0,1,1,0,1,1.2,77.8,0.5,0,6.36,Barcelona,2019/2020,DEN,Denmark
M.Braithwaite,28,Forward,180,77,21,3,24,1936,6,2,8,3,0,3,1.8,68.1,2.1,1,6.73,Leganes,2019/2020,DEN,Denmark
M.Braithwaite,29,Forward,180,77,11,18,29,1164,2,2,4,3,0,3,0.8,82.2,0.6,0,6.33,Barcelona,2020/2021,DEN,Denmark
